words,links,capital_words,spam_word_count,is_spam
352,0,1,2,0
79,4,20,3,1
197,1,1,4,0
68,0,0,2,0
158,10,26,4,1
214,0,2,3,0
244,2,1,7,1
387,1,3,0,0
125,2,12,3,1
956,9,10,10,1
281,2,4,6,1
78,2,0,2,0
236,2,1,2,0
92,6,11,10,1
275,9,3,5,1
79,2,3,6,0
100,0,2,6,0
121,0,0,2,0
97,0,3,0,0
166,0,9,0,0
198,6,19,1,1
517,2,18,10,1
981,3,13,7,1
88,9,27,6,1
38,1,3,2,0
573,5,27,4,1
52,1,1,2,0
328,0,12,6,1
292,1,2,1,0
174,0,24,4,1
869,5,24,3,1
818,6,7,0,1
162,2,3,5,0
738,7,22,8,1
768,9,4,2,1
841,4,15,9,1
207,0,0,2,0
70,2,5,2,0
895,4,22,2,1
399,0,3,2,0
962,8,5,5,1
51,2,6,3,1
528,2,12,0,1
49,0,0,0,0
119,0,27,7,1
136,0,1,2,0
794,2,6,9,1
295,2,1,3,0
336,3,3,4,0
668,9,1,5,1
112,1,2,2,0
249,7,10,9,1
877,9,20,5,1
86,0,5,0,0
327,9,11,9,1
96,2,3,2,0
827,0,26,2,1
453,6,8,7,1
615,9,12,4,1
83,2,23,3,1
652,8,3,6,1
201,1,0,2,0
37,0,2,0,0
167,0,9,1,0
308,1,3,6,0
233,5,1,2,0
676,5,24,5,1
398,2,3,4,0
377,2,0,2,0
115,1,3,1,0
210,2,3,4,0
159,0,0,0,0
194,2,1,0,0
581,0,13,6,1
884,9,30,10,1
176,1,2,1,0
219,0,0,2,0
150,5,3,2,0
493,3,0,2,0
99,0,1,1,0
260,1,1,0,0
299,8,0,10,1
236,8,19,7,1
113,4,1,5,0
125,1,0,0,0
114,8,4,2,1
159,3,0,2,0
224,5,7,0,0
50,0,1,2,0
178,2,1,2,0
104,2,3,0,0
260,2,2,0,0
408,2,21,0,1
672,5,23,4,1
269,0,1,0,0
489,2,26,8,1
574,9,1,5,1
893,1,26,8,1
54,0,3,1,0
399,5,23,5,1
191,6,10,9,1
223,0,0,1,0
96,1,0,0,0
99,2,3,3,0
846,3,16,5,1
501,2,9,8,1
637,3,30,1,1
186,10,28,6,1
252,9,29,3,1
110,5,0,2,0
955,8,16,10,1
728,6,5,9,1
381,4,6,2,0
262,2,2,2,0
194,2,5,1,0
891,3,18,4,1
90,3,7,5,1
349,10,25,6,1
975,5,27,5,1
111,1,3,1,0
800,3,15,3,1
82,2,3,2,0
345,3,3,1,0
141,1,2,3,1
128,2,2,2,0
21,0,2,1,0
184,2,3,1,0
149,1,3,2,0
254,4,4,8,1
75,1,4,0,0
248,10,3,3,1
761,5,29,7,1
405,5,4,9,1
843,5,8,5,1
39,2,1,0,0
131,0,3,2,0
216,0,2,2,0
152,1,3,2,0
188,9,12,6,1
860,3,23,5,1
429,1,3,4,0
237,8,10,3,1
130,2,11,3,1
40,3,9,0,0
187,4,18,3,1
54,2,11,5,1
70,4,5,6,1
228,1,0,0,0
281,1,2,0,0
841,2,28,8,1
596,1,3,5,1
249,0,3,3,0
198,3,22,10,1
678,9,14,8,1
266,0,0,0,0
428,9,5,2,1
295,4,3,0,0
464,5,0,2,0
577,4,27,9,1
131,8,10,3,1
770,0,15,7,1
198,3,3,2,0
283,3,11,9,1
98,6,3,6,1
123,4,30,8,1
32,2,1,4,0
214,4,19,9,1
269,3,0,2,0
76,9,14,10,1
45,2,3,4,0
155,1,1,0,0
244,2,0,0,0
27,1,6,2,0
71,6,14,5,1
230,0,1,0,0
123,4,2,2,0
256,2,3,1,0
135,5,3,0,0
151,0,0,5,0
174,1,28,6,1
187,1,0,2,0
485,1,2,1,0
371,3,8,6,0
33,0,1,1,0
482,6,10,4,1
951,6,21,10,1
74,1,0,2,0
227,3,1,1,0
119,2,3,1,0
632,4,24,4,1
80,2,3,0,0
137,2,2,2,0
138,6,13,5,1
234,1,0,5,0
219,0,0,0,0
205,4,3,3,1
59,1,3,2,0
459,2,7,8,1
191,1,1,2,0
647,3,22,8,1
371,2,9,5,1
202,1,5,3,0
160,9,0,3,1
255,2,1,2,0
165,0,10,1,0
181,1,4,3,0
121,7,29,3,1
366,6,12,8,1
694,2,16,7,1
33,2,0,5,0
816,9,12,5,1
266,0,0,3,0
614,4,28,0,1
203,2,24,2,1
626,7,4,4,1
483,0,15,7,1
144,6,8,4,1
228,1,0,0,0
338,2,1,2,0
133,0,2,0,0
493,3,1,4,0
655,1,28,3,1
58,1,0,1,0
236,1,0,2,0
240,1,0,2,0
720,5,9,3,1
39,0,0,0,0
624,9,11,9,1
436,10,10,1,1
143,4,21,2,1
742,7,6,3,1
99,1,0,2,0
295,2,1,1,0
45,2,1,5,0
755,10,26,5,1
214,0,1,2,0
160,2,2,0,0
101,3,0,1,1
641,1,8,7,1
502,10,27,6,1
107,10,11,1,1
195,1,0,0,0
911,0,5,8,1
414,5,2,7,1
199,5,17,2,1
666,3,20,4,1
792,2,18,3,1
202,1,3,0,0
694,5,11,1,1
151,0,4,2,0
452,3,2,0,1
120,1,5,0,0
101,1,14,6,1
128,4,2,5,0
100,2,1,2,0
224,0,3,2,0
190,10,1,4,1
323,3,25,3,1
259,2,7,7,1
240,1,1,1,0
331,0,3,2,0
207,7,25,8,1
37,1,2,2,0
737,2,22,1,1
490,1,2,6,0
162,1,1,3,0
176,0,2,0,0
957,3,19,8,1
178,3,1,0,0
72,7,7,1,1
109,1,1,1,0
153,8,24,5,1
161,0,2,0,0
200,0,0,2,0
73,0,0,0,0
243,2,2,2,0
540,7,28,10,1
225,3,2,1,0
926,0,20,8,1
699,2,24,5,1
264,1,2,2,0
283,1,1,1,0
44,0,0,2,0
84,4,2,2,0
156,2,11,10,1
180,10,23,6,1
241,2,3,1,0
290,10,18,0,1
630,8,27,5,1
212,9,6,8,1
136,0,6,2,0
472,9,20,1,1
272,10,8,4,1
994,2,10,6,1
892,6,8,6,1
784,4,19,9,1
959,2,30,3,1
186,2,1,1,0
558,6,24,5,1
288,5,1,2,0
269,2,3,2,0
125,5,8,3,1
176,4,5,5,1
122,9,5,9,1
92,1,3,1,0
247,1,1,4,0
290,0,1,0,0
757,9,12,7,1
687,2,23,3,1
138,5,2,1,0
23,0,3,2,0
101,9,16,3,1
630,5,5,4,1
160,1,3,0,0
351,10,7,4,1
50,2,23,7,1
253,0,3,0,0
143,1,9,5,1
440,1,3,2,0
132,1,0,0,0
488,2,0,1,0
458,9,16,5,1
879,8,19,6,1
239,2,7,2,0
468,7,20,0,1
115,0,3,0,0
696,6,7,4,1
458,2,2,2,0
197,6,14,4,1
865,2,27,7,1
973,5,21,8,1
908,2,29,9,1
50,0,1,0,0
717,5,30,4,1
283,0,0,1,0
178,0,1,0,0
245,5,6,7,1
606,2,21,0,1
739,2,23,10,1
270,0,1,1,0
466,2,1,0,0
447,6,21,9,1
242,0,0,2,0
123,2,2,0,0
110,5,0,1,0
248,4,10,1,0
278,5,2,0,0
167,5,3,4,0
144,5,29,6,1
113,10,9,6,1
211,1,9,0,0
297,10,22,7,1
177,2,2,1,0
284,0,3,6,0
162,2,3,1,0
912,10,5,0,1
43,2,1,1,0
259,4,0,1,0
289,0,0,0,0
367,3,2,2,0
175,1,1,0,0
213,0,0,4,0
688,7,29,3,1
546,0,22,7,1
930,0,8,7,1
476,2,1,9,1
206,3,1,1,0
196,4,2,3,0
139,1,0,1,0
256,2,1,1,0
885,1,25,4,1
184,5,27,10,1
149,1,8,10,1
760,2,24,3,1
833,1,19,7,1
201,2,9,2,0
997,2,17,4,1
641,10,14,3,1
163,0,7,1,0
46,0,3,2,0
273,2,3,2,0
514,2,11,3,1
553,4,25,4,1
108,0,1,6,0
106,2,0,6,0
225,2,27,10,1
191,2,0,2,0
153,1,2,0,0
614,0,0,3,1
109,2,5,2,1
567,1,16,4,1
758,7,28,0,1
618,6,20,10,1
988,8,13,10,1
677,7,28,7,1
569,10,30,8,1
241,0,0,3,0
160,2,1,2,0
84,2,1,2,0
142,0,0,2,0
938,9,6,3,1
137,2,16,8,1
955,5,11,5,1
97,2,1,1,0
460,2,9,8,1
161,5,8,6,1
289,3,3,3,0
221,0,6,1,0
350,6,3,5,1
360,2,1,5,0
911,3,18,8,1
214,2,0,6,0
200,1,5,1,0
245,0,0,0,0
281,1,4,2,0
133,0,1,1,0
300,0,1,1,0
197,2,10,4,1
522,9,16,10,1
192,10,23,6,1
90,4,27,10,1
147,5,0,2,0
32,0,4,2,0
172,2,11,10,1
151,0,0,2,0
292,0,0,5,0
204,1,2,0,0
844,10,8,1,1
243,2,2,4,0
269,4,1,2,0
258,2,0,0,0
182,9,27,0,1
383,4,15,5,1
244,1,0,0,0
122,8,12,8,1
279,2,1,1,0
28,1,2,0,0
322,4,7,1,1
149,1,0,1,0
696,6,28,8,1
275,0,1,3,0
167,3,29,3,1
128,5,4,3,1
496,4,4,0,1
775,5,12,2,1
267,2,1,0,0
295,3,1,2,0
744,6,2,3,1
148,3,0,1,0
154,2,23,9,1
259,1,7,2,0
118,2,1,0,0
278,0,2,1,0
174,4,7,2,0
37,2,2,2,0
78,1,3,1,0
328,2,23,3,1
640,2,29,7,1
269,5,2,1,0
97,10,6,7,1
60,6,7,8,1
234,2,5,1,0
177,0,3,4,0
237,2,3,6,0
739,6,30,6,1
292,7,3,10,1
79,4,0,2,0
124,9,7,6,1
290,1,3,6,0
176,0,1,1,0
277,0,1,1,0
116,9,28,9,1
172,2,1,1,0
220,2,0,1,0
50,3,26,2,1
540,8,0,8,1
225,2,8,2,0
119,0,2,0,0
218,1,1,1,0
855,4,3,10,1
113,2,1,1,0
51,1,1,0,0
668,8,5,3,1
165,2,3,5,0
265,2,1,0,0
786,4,6,5,1
410,5,22,9,1
140,1,5,4,0
637,2,27,6,1
36,3,0,2,0
810,7,16,4,1
536,9,5,10,1
269,3,0,1,0
231,4,0,1,0
558,6,0,10,1
335,4,21,9,1
169,0,2,1,0
20,3,2,1,0
219,1,8,0,0
85,1,3,3,0
231,8,6,7,1
240,8,0,9,1
935,9,8,3,1
327,0,3,0,0
127,1,1,1,0
126,0,13,10,1
66,1,10,2,0
220,1,3,0,0
53,1,3,2,0
231,1,3,6,0
89,4,29,3,1
153,1,1,1,0
213,2,8,1,0
81,2,1,2,0
238,0,10,0,0
174,0,2,1,0
454,0,0,0,0
935,9,17,10,1
245,5,2,0,0
602,10,16,6,1
474,6,7,7,1
146,0,1,2,0
268,5,5,6,1
275,10,28,3,1
317,0,5,0,0
757,8,0,6,1
897,7,4,10,1
506,4,12,7,1
244,2,1,2,0
614,9,19,7,1
255,0,24,10,1
995,2,16,7,1
151,2,3,6,0
182,1,0,0,0
179,2,20,0,1
510,2,27,3,1
232,1,0,1,0
184,4,1,2,0
75,0,2,10,1
225,2,1,2,0
173,2,3,0,0
278,0,1,4,0
247,3,3,8,1
44,2,2,0,0
145,1,2,0,0
232,1,2,2,0
228,2,8,0,0
381,1,1,0,0
226,2,0,1,0
169,9,12,8,1
179,2,10,0,0
272,1,3,0,0
314,7,24,2,1
898,2,3,7,1
134,4,29,7,1
538,3,20,5,1
293,2,0,1,0
76,2,2,2,0
259,0,3,1,0
936,3,29,4,1
